University Name :	Manarat International University
Rank :		57
Location :	Gulshan 2, Dhaka
Vice-chancellor :	Professor Dr. Md. Nazrul Islam
Faculty's : 	BBA,ENGLISH,PHARM,CSE,EEE,LLB				
Tution fee : 	3 to 5 lac				
Minimum required GPA : 	6				
Extra facilities : 	own campus,lab,waiver				
University Website :		https://manarat.ac.bd/
			
